上海频道,#genre#
兵团卫视,http://qm920.myds.me:4022/udp/239.45.1.117:5140
延边卫视,http://qm920.myds.me:4022/udp/239.45.0.39:5140

电影其他,#genre#
CHC家庭影院,http://qm920.myds.me:4022/udp/239.45.0.40:5140
CHC动作电影,http://qm920.myds.me:4022/udp/239.45.0.41:5140
CHC高清电影,http://qm920.myds.me:4022/udp/239.45.0.42:5140
百事通4K电影,http://qm920.myds.me:4022/udp/239.45.3.107:5140
百事通4K纪实,http://qm920.myds.me:4022/udp/239.45.1.10:5140
百事通4K儿童,http://qm920.myds.me:4022/udp/239.45.1.1:5140
乐游HD,http://qm920.myds.me:4022/udp/239.45.3.135:5140
高清导视频道,http://qm920.myds.me:4022/udp/239.45.3.240:5140
快乐垂钓HD,http://qm920.myds.me:4022/udp/239.45.3.12:5140
茶频道HD,http://qm920.myds.me:4022/udp/239.45.3.18:5140
财富天下,http://qm920.myds.me:4022/udp/239.45.0.7:5140
欢笑剧场4K,http://qm920.myds.me:4022/udp/239.45.1.4:5140
中国气象,http://qm920.myds.me:4022/udp/239.45.1.47:5140
家庭理财,http://qm920.myds.me:4022/udp/239.45.0.14:5140

教育卡通,#genre#
卡酷少儿HD,http://qm920.myds.me:4022/udp/239.45.0.8:5140
金鹰卡通HD,http://qm920.myds.me:4022/udp/239.45.0.38:5140
嘉佳卡通,http://qm920.myds.me:4022/udp/239.45.1.48:5140
卡酷卡通,http://qm920.myds.me:4022/udp/239.45.1.49:5140
中国教育-1,http://qm920.myds.me:4022/udp/239.45.1.51:5140
中国教育-2,http://qm920.myds.me:4022/udp/239.45.1.52:5140
中国教育-4,http://qm920.myds.me:4022/udp/239.45.1.50:5140
CETV4HD,http://qm920.myds.me:4022/udp/239.45.0.21:5140
CETV早期教育,http://qm920.myds.me:4022/udp/239.45.0.54:5140
一年级,http://qm920.myds.me:4022/udp/239.45.1.28:5140
二年级,http://qm920.myds.me:4022/udp/239.45.1.29:5140
三年级,http://qm920.myds.me:4022/udp/239.45.1.30:5140
四年级,http://qm920.myds.me:4022/udp/239.45.1.31:5140
五年级,http://qm920.myds.me:4022/udp/239.45.1.32:5140
六年级,http://qm920.myds.me:4022/udp/239.45.1.33:5140
七年级,http://qm920.myds.me:4022/udp/239.45.1.34:5140
八年级,http://qm920.myds.me:4022/udp/239.45.1.35:5140
九年级,http://qm920.myds.me:4022/udp/239.45.1.36:5140
高一年级,http://qm920.myds.me:4022/udp/239.45.1.37:5140
高二年级,http://qm920.myds.me:4022/udp/239.45.1.38:5140
高三年级,http://qm920.myds.me:4022/udp/239.45.1.39:5140

购物频道,#genre#
东方购物-1HD,http://qm920.myds.me:4022/udp/239.45.3.74:5140
东方购物-2HD,http://qm920.myds.me:4022/udp/239.45.3.75:5140
金色学堂HD,http://qm920.myds.me:4022/udp/239.45.0.9:5140
